OrderNo,CustomerCode,CustomerName,CustomerType,InvoiceDate,InvoiceNo,TransactionType,OrderStatus,ProductCode,ProductName,Uom,ItemPricePerUnit,ShippedQty,ShippedAmount,ConversionFactor,Point
1222449,24HOURS,24 HOURS KEBAB,KB,2019-06-20 00:00:00,955978,Invoice,90,BSC,BSC - CREAM SOUR LITE BULLA 5LT,TUB,27.3500,1.0000,27.35,1.0000000,40
1147190,5WDM,5WAYS- MINA AND DAVID JACKSON,NT,2018-09-11 00:00:00,892914,Invoice,90,BG375,BG375 - DRINK GUAVA BUNDABERG 12 X 375ML,CTN,19.2500,1.0000,21.18,1.0000000,20
1127820,5WSAM,5WAYS-SAMPLES STK,NT,2018-07-03 00:00:00,874883,Credit,90,FAR,FAR - **RICE ARBORIO SUPERFINO ROBO 1KG 10/CTN,PKT,7.2000,-22.0000,-158.40,1.0000000,3
1139086,ABIMPORTS,AB IMPORTS PTY LTD,,2018-08-10 00:00:00,886186,Invoice,90,SWPT,SWPT - TOMATO WHOLE PEEL MEDITERRANEI 2.55KG 6/CTN,CTN,3.0850,128.0000,2369.28,6.0000000,5
1127175,ALIMENT,SMITH ST ALIMENTARI,AE,2018-07-02 00:00:00,876556,Invoice,90,BTC,BTC - CREAM THICKENED BULLA 5LT 3/CTN,BTL,25.9000,2.0000,51.80,1.0000000,35
1126888,AMBERLEY,AMBERLEY FOOD,AV,2018-07-02 00:00:00,876426,Invoice,90,JLSP,JLSP - PINEAPPLE P/CUT L/SYRUP GEPPIN 3.35KG 6/CTN,CTN,4.0900,10.0000,245.40,6.0000000,5
1145228,AMBE-SDD,AMBERLEY FOOD,AV,2018-09-03 00:00:00,891353,Invoice,90,WMF12.5,WMF12.5 - FLOUR MAXIMUS WESTONS 12.5KG,BAG,8.6500,400.0000,3460.00,1.0000000,30
1155853,ARANCINI,ARANCINI ART,,2018-10-15 00:00:00,900791,Invoice,90,RPPM,RPPM - MUSHROOM PORCINI PIZZA ROBO 800GM 6/CTN,CTN,11.0000,10.0000,660.00,6.0000000,12
1127862,AVOPIZZA2,AVO PIZZA BEAUMARIS,NT,2018-07-04 00:00:00,877258,Invoice,90,LDF,LDF - CHEESE FETTA DANISH LEMNOS 2KG 3/CTN,TUB,21.7000,2.0000,43.40,1.0000000,12
1127494,BERWI2,BERWICK CHARCOAL CHICKEN,BQ,2018-07-03 00:00:00,876809,Invoice,90,BTBN,BTBN - NUGGET TEMPURA STEGGLES 1KG 6/CTN,BAG,11.0300,3.0000,33.09,1.0000000,15
1126890,BETT,BETTER FOOD SERVICE (AUST) P/L,3B,2018-07-02 00:00:00,876431,Invoice,90,AVF12.5,AVF12.5 - FLOUR PERFECTION ALLIED 12.5KG,BAG,11.5000,6.0000,69.00,1.0000000,35
1181624,BIGALS,BIG AL'S PIZZA & PASTA SALE,,2019-01-16 00:00:00,922033,Invoice,90,AMMOZ,AMMOZ - CHEESE MOZZ SHRED GEPPINO 2 X 6KG,CTN,106.0000,1.0000,106.00,1.0000000,100
1161452,BIGBEN,BIG BEN PIZZA BAR,NT,2018-11-01 00:00:00,904722,Invoice,90,AMMOZ,AMMOZ - CHEESE MOZZ SHRED GEPPINO 2 X 6KG,CTN,96.5000,4.0000,386.00,1.0000000,100
1127607,BIGMAMAS,BIG MAMA'S PIZZA,EX,2018-07-03 00:00:00,876879,Invoice,90,ACC1,ACC1 - CREAM COOKING CULINARY ANCHOR 1LT 12/CTN,PKT,6.1900,8.0000,49.52,1.0000000,7
1168232,BOJAKBREW,BOJAK BREWING PTY LTD,,2018-11-27 00:00:00,910771,Invoice,90,BSSCD,BSSCD - DIP SPICY CAPSICUM BLACK SWAN 2KG 3/CTN,BCKT,18.2500,2.0000,36.50,1.0000000,28
1149200,BRAD2,BRADY ROAD PIZZA,B2,2018-09-17 00:00:00,894592,Invoice,90,BTC,BTC - CREAM THICKENED BULLA 5LT 3/CTN,BTL,28.8300,3.0000,86.49,1.0000000,35
